,last_price_buy,last_price_sell,side,profit_last_price,procfit_last_price_percent,time
0,1.4167,1.4166,buy-sell,-7.058657443353496e-05,-0.007058657443353497,2022-03-12 08:54:08.482029056----2022-03-12 08:57:19.424773376
1,1.4167,-,buy,-,-,2022-03-13T06:05:50.576769280
